# case	expected_retry_count	limit	expected_result	pattern_shape	input
optional:0	1	1	error:-17	\\A(*COUNT)(*FAIL)	(empty)
optional:0	1	2	mismatch	\\A(*COUNT)(*FAIL)	(empty)
optional:8	256	256	error:-17	\\A(a? x 8)(*COUNT)(*FAIL)	aaaaaaaa
optional:8	256	257	mismatch	\\A(a? x 8)(*COUNT)(*FAIL)	aaaaaaaa
optional:23	8388608	10000000	mismatch	\\A(a? x 23)(?!)	a x 23
optional:24	16777216	10000000	error:-17	\\A(a? x 24)(?!)	a x 24
linear:9999998	9999999	10000000	mismatch	\\Aa*(?!)	@a:9999998
linear:9999999	10000000	10000000	error:-17	\\Aa*(?!)	@a:9999999
numeric-call	1	1	error:-17	\\A(a)(?1)(?!)	aa
multiplex-backref	1	1	error:-17	\\A(?<x>a)(?<x>b)\\k<x>(?!)	abb
relative-condition	3	3	error:-17	\\A(a)?(?(-1)b|c)(?!)	ac
regex-condition	1	1	error:-17	\\A(?(a|b)c|d)(?!)	ac
nested-absent	14	14	error:-17	\\A(?~|(?~a)|b)(?!)	b
class-quote	1	1	error:-17	\\A[\\Qx](?!)	x
lookbehind-reduction	1	1	error:-17	\\Aa(?<=a+)b(?!)	ab
lookbehind-backref	1	1	error:-17	\\A(a)(?<=\\k<1>)(?!)	a
lookbehind-call	1	1	error:-17	\\A(?<x>a){0}(?<=\\g<x>)a(?!)	aa
lookbehind-absent	1	1	error:-17	\\Aa(?<=(?~a))b(?!)	ab
level-backref	4	4	error:-17	\\A(a|b\\g<1>c)\\k<1+3>(?!)	bbacca
level-condition	4	4	error:-17	\\A(a|b\\g<1>c)(?(1+3)a|x)(?!)	bbacca
